TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
SPFB.RTS-9.23;D;20210928;0;167780.0000000;167780.0000000;167780.0000000;167780.0000000;1
SPFB.RTS-9.23;D;20211011;0;178710.0000000;178710.0000000;178710.0000000;178710.0000000;1
SPFB.RTS-9.23;D;20211025;0;176310.0000000;176310.0000000;176310.0000000;176310.0000000;1
SPFB.RTS-9.23;D;20211108;0;175420.0000000;175870.0000000;175420.0000000;175870.0000000;2
SPFB.RTS-9.23;D;20211109;0;175880.0000000;175880.0000000;175880.0000000;175880.0000000;1
SPFB.RTS-9.23;D;20211115;0;170020.0000000;170020.0000000;170020.0000000;170020.0000000;1
SPFB.RTS-9.23;D;20211119;0;164130.0000000;164130.0000000;164130.0000000;164130.0000000;1
SPFB.RTS-9.23;D;20211122;0;158650.0000000;158650.0000000;153070.0000000;154430.0000000;4
SPFB.RTS-9.23;D;20211123;0;159260.0000000;165830.0000000;151410.0000000;151410.0000000;4
SPFB.RTS-9.23;D;20211206;0;159430.0000000;159430.0000000;153990.0000000;153990.0000000;2
SPFB.RTS-9.23;D;20211214;0;147540.0000000;147540.0000000;147540.0000000;147540.0000000;1
SPFB.RTS-9.23;D;20211215;0;145470.0000000;145470.0000000;145470.0000000;145470.0000000;1
SPFB.RTS-9.23;D;20211220;0;145480.0000000;146550.0000000;145480.0000000;146550.0000000;4
SPFB.RTS-9.23;D;20220105;0;150000.0000000;150000.0000000;146240.0000000;146240.0000000;2
SPFB.RTS-9.23;D;20220106;0;144440.0000000;148720.0000000;144440.0000000;148720.0000000;3
SPFB.RTS-9.23;D;20220113;0;146940.0000000;146940.0000000;144990.0000000;144990.0000000;2
SPFB.RTS-9.23;D;20220114;0;144790.0000000;144790.0000000;141480.0000000;142900.0000000;7
SPFB.RTS-9.23;D;20220117;0;142300.0000000;147300.0000000;140010.0000000;141680.0000000;4
SPFB.RTS-9.23;D;20220118;0;136600.0000000;136600.0000000;136600.0000000;136600.0000000;1
SPFB.RTS-9.23;D;20220119;0;138060.0000000;139000.0000000;138060.0000000;139000.0000000;2
SPFB.RTS-9.23;D;20220124;0;124450.0000000;125500.0000000;124450.0000000;125500.0000000;3
SPFB.RTS-9.23;D;20220125;0;126410.0000000;127530.0000000;126410.0000000;127530.0000000;2
SPFB.RTS-9.23;D;20220126;0;127780.0000000;131530.0000000;127780.0000000;131530.0000000;3
SPFB.RTS-9.23;D;20220127;0;124770.0000000;136640.0000000;124770.0000000;134080.0000000;4
SPFB.RTS-9.23;D;20220128;0;136940.0000000;136940.0000000;136940.0000000;136940.0000000;1
SPFB.RTS-9.23;D;20220202;0;140200.0000000;144400.0000000;140200.0000000;144400.0000000;6
